Qty,Designator,Footprint,Comment,LCSC
2,"C2, C4, C7, C3, C6, C10",Capacitor 0603 100nF,Capacitor 0603 100nF,,
5,"R2, R3, R4, R5, R11",Resistor 0603 10K,Resistor 0603 10K,,
1,C1,Capacitor 1206 10nF,Capacitor 1206 10nF,,
1,F1,1206 16V 1A,1206 16V 1A,,
2,"R1, R7",Resistor 0603 1k,Resistor 0603 1k,,
2,"C8, C9",Capacitor 0603 22pF,Capacitor 0603 22pF,,
1,R6,Resistor 0603 4.7K,Resistor 0603 4.7K,,
1,F2,1206 6V 0.5A,1206 6V 0.5A,,
1,IC3,78M05,78M05,,
1,U3,TQFP32 08 ATMEGA328P TQFP,ATMEGA328P TQFP,,
2,"U1, U2",SOT23 6 MCP4725,MCP4725,,
1,LED6,LED 0805 PWR,LED 0805 Green,,
1,D1,SS12,SS12,,
1,D2,SS34,SS34,,
1,LED1,LED 0805 STATUS,LED 0805 Green,,